epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2382,1.30201,1.95242,1.29871,0.68915,0.66612,0.74306,0.52706,1.16993,1.6928,1.2187,0.000294343,0.000294343,0.000294343
2,88.794,0.82338,0.7585,0.97147,0.76806,0.73642,0.78461,0.57448,1.01014,1.38283,1.10597,0.000585515,0.000585515,0.000585515
3,130.36,0.81202,0.68367,0.95659,0.6727,0.58707,0.659,0.47886,1.11105,1.33078,1.30438,0.000864689,0.000864689,0.000864689
4,171.796,0.78761,0.62292,0.9541,0.83345,0.73,0.79764,0.58023,1.12704,1.00631,1.26034,0.000855005,0.000855005,0.000855005
5,213.355,0.74984,0.56761,0.93897,0.92689,0.95895,0.97277,0.80044,0.77543,0.56545,0.94806,0.000837007,0.000837007,0.000837007
6,254.886,0.69745,0.51817,0.91329,0.89594,0.95604,0.96583,0.79294,0.80719,0.62803,0.94384,0.000819009,0.000819009,0.000819009
7,296.203,0.70646,0.50854,0.91827,0.93643,0.9305,0.9635,0.75841,0.92479,0.66285,0.96435,0.000801011,0.000801011,0.000801011
8,337.554,0.70314,0.49929,0.90723,0.95333,0.93046,0.96076,0.77631,0.87429,0.58828,1.00963,0.000783013,0.000783013,0.000783013
9,378.879,0.6745,0.46834,0.90874,0.95335,0.96093,0.97577,0.82449,0.71392,0.4736,0.92276,0.000765014,0.000765014,0.000765014
10,420.421,0.65614,0.45122,0.89842,0.96872,0.97279,0.98507,0.82278,0.72593,0.47113,0.9184,0.000747016,0.000747016,0.000747016
11,461.728,0.64364,0.44107,0.89121,0.9838,0.97613,0.99021,0.83591,0.70166,0.45733,0.87924,0.000729018,0.000729018,0.000729018
12,503.172,0.64713,0.44417,0.89083,0.93993,0.94889,0.969,0.81309,0.72093,0.53314,0.91253,0.00071102,0.00071102,0.00071102
13,544.485,0.61602,0.41893,0.88261,0.93277,0.97408,0.97799,0.83753,0.68944,0.45487,0.89945,0.000693022,0.000693022,0.000693022
14,586.014,0.60043,0.4034,0.87361,0.98868,0.99064,0.99419,0.85958,0.63634,0.39446,0.86608,0.000675023,0.000675023,0.000675023
15,627.507,0.60587,0.40548,0.88222,0.91292,0.95104,0.95316,0.7986,0.71435,0.53412,0.91194,0.000657025,0.000657025,0.000657025
16,668.857,0.60663,0.39406,0.87624,0.92982,0.95159,0.96445,0.82704,0.6738,0.54404,0.88392,0.000639027,0.000639027,0.000639027
17,710.217,0.58275,0.38348,0.87099,0.97301,0.9786,0.98771,0.86385,0.63024,0.40995,0.86739,0.000621029,0.000621029,0.000621029
18,751.801,0.59798,0.39738,0.86888,0.96309,0.97523,0.9837,0.8403,0.6787,0.42685,0.87605,0.000603031,0.000603031,0.000603031
19,793.109,0.599,0.39567,0.87414,0.98633,0.99826,0.99264,0.86028,0.63543,0.41422,0.85841,0.000585032,0.000585032,0.000585032
20,834.514,0.59123,0.38881,0.8701,0.9596,0.97807,0.98198,0.84752,0.65002,0.40488,0.86264,0.000567034,0.000567034,0.000567034
21,875.808,0.5808,0.38774,0.86947,0.96823,0.97764,0.98506,0.8585,0.65949,0.40561,0.87559,0.000549036,0.000549036,0.000549036
22,917.102,0.57088,0.37035,0.8577,0.99333,1,0.99497,0.87009,0.61324,0.36092,0.85249,0.000531038,0.000531038,0.000531038
23,958.552,0.55423,0.35714,0.8653,0.95605,0.97858,0.98537,0.85392,0.6451,0.41218,0.87093,0.00051304,0.00051304,0.00051304
24,999.869,0.55828,0.36194,0.86147,0.98678,0.99376,0.99384,0.8735,0.62478,0.36204,0.85516,0.000495041,0.000495041,0.000495041
