epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,936.831,0.71321,0.40929,0.91083,0.98938,0.99285,0.99251,0.73546,0.89911,0.41359,0.98089,0.000494885,0.000494885,0.000494885
43,958.875,0.72237,0.4173,0.90974,0.98934,0.99122,0.99234,0.73253,0.86182,0.40042,0.96534,0.000486639,0.000486639,0.000486639
44,980.985,0.71807,0.41709,0.92308,0.98263,0.99285,0.99091,0.76376,0.85285,0.41214,0.96186,0.000478392,0.000478392,0.000478392
45,1003.22,0.72058,0.41134,0.91165,0.98359,0.99285,0.99002,0.75382,0.85469,0.3938,0.95766,0.000470145,0.000470145,0.000470145
46,1025.37,0.72168,0.41447,0.91152,0.98516,0.98938,0.99177,0.73523,0.85798,0.4091,0.98801,0.000461898,0.000461898,0.000461898
47,1047.41,0.72621,0.40829,0.91229,0.99265,0.98591,0.98898,0.70283,0.91253,0.41633,0.99644,0.000453652,0.000453652,0.000453652
48,1069.47,0.69513,0.39718,0.9053,0.99286,0.99169,0.99245,0.74553,0.84939,0.39683,0.95707,0.000445405,0.000445405,0.000445405
49,1091.5,0.70543,0.41205,0.9121,0.98646,0.99285,0.99159,0.72916,0.86699,0.39827,0.96782,0.000437158,0.000437158,0.000437158
50,1113.55,0.69264,0.40342,0.90881,0.99042,0.99285,0.99251,0.75533,0.81858,0.39403,0.94042,0.000428912,0.000428912,0.000428912
51,1135.56,0.72947,0.39976,0.91099,0.99129,0.99653,0.99367,0.76497,0.8415,0.37662,0.95206,0.000420665,0.000420665,0.000420665
52,1157.81,0.70788,0.39362,0.90502,0.98361,0.99296,0.99245,0.73703,0.82893,0.40428,0.94325,0.000412418,0.000412418,0.000412418
53,1179.84,0.69882,0.39335,0.90173,0.9902,0.99575,0.99368,0.75667,0.82472,0.37998,0.95484,0.000404172,0.000404172,0.000404172
54,1201.87,0.70527,0.38486,0.90057,0.9893,0.99002,0.99238,0.76726,0.79389,0.36234,0.93951,0.000395925,0.000395925,0.000395925
55,1224.08,0.68866,0.37767,0.90568,0.9892,0.98651,0.99221,0.74189,0.84826,0.3679,0.95136,0.000387678,0.000387678,0.000387678
56,1246.14,0.68514,0.38676,0.90077,0.98933,0.99285,0.99238,0.73275,0.84938,0.38733,0.95922,0.000379431,0.000379431,0.000379431
57,1268.18,0.69058,0.39464,0.89994,0.98938,0.99285,0.99231,0.75177,0.82256,0.37647,0.95629,0.000371185,0.000371185,0.000371185
58,1290.26,0.67571,0.38571,0.90271,0.98591,0.98343,0.98648,0.73719,0.85165,0.37861,0.96773,0.000362938,0.000362938,0.000362938
59,1312.38,0.68549,0.38291,0.90431,0.98616,0.98938,0.98935,0.7418,0.87129,0.37241,0.96848,0.000354691,0.000354691,0.000354691
60,1334.45,0.68501,0.37957,0.90101,0.98959,0.99306,0.99139,0.72673,0.87504,0.38835,0.9761,0.000346445,0.000346445,0.000346445
61,1356.53,0.69756,0.3901,0.90158,0.99114,0.99276,0.99251,0.74754,0.84418,0.37893,0.95998,0.000338198,0.000338198,0.000338198
62,1378.61,0.68609,0.3837,0.89529,0.99217,0.99285,0.99251,0.74557,0.85556,0.3702,0.9689,0.000329951,0.000329951,0.000329951
63,1400.6,0.69937,0.38502,0.90542,0.99397,0.99306,0.9936,0.72169,0.87106,0.37966,0.96773,0.000321705,0.000321705,0.000321705
64,1422.69,0.68379,0.37342,0.89637,0.99286,0.99194,0.99251,0.73131,0.83233,0.37068,0.96244,0.000313458,0.000313458,0.000313458
65,1444.79,0.66775,0.37367,0.89617,0.99286,0.99285,0.99255,0.72651,0.84748,0.36581,0.95444,0.000305211,0.000305211,0.000305211
66,1466.91,0.66426,0.35913,0.89129,0.98938,0.98912,0.99133,0.78327,0.83437,0.36016,0.95371,0.000296964,0.000296964,0.000296964
67,1489.13,0.66681,0.36418,0.89225,0.99186,0.99285,0.99251,0.73601,0.89096,0.37944,0.97451,0.000288718,0.000288718,0.000288718
68,1511.22,0.6775,0.35984,0.8944,0.99286,0.992,0.99251,0.74709,0.84721,0.36501,0.97076,0.000280471,0.000280471,0.000280471
69,1533.3,0.65931,0.36547,0.89418,0.99156,0.99285,0.9924,0.74605,0.84339,0.35849,0.95793,0.000272224,0.000272224,0.000272224
70,1555.38,0.6539,0.35988,0.89112,0.99014,0.99285,0.99251,0.75741,0.81882,0.36211,0.95073,0.000263978,0.000263978,0.000263978
71,1577.48,0.65938,0.36691,0.89038,0.9896,0.99285,0.99248,0.71988,0.86331,0.37163,0.96695,0.000255731,0.000255731,0.000255731
72,1599.6,0.65693,0.36097,0.88987,0.99449,0.99653,0.99367,0.75909,0.85338,0.3671,0.95541,0.000247484,0.000247484,0.000247484
73,1621.66,0.67238,0.3655,0.89869,0.99144,0.99653,0.99346,0.74997,0.84454,0.36618,0.95693,0.000239238,0.000239238,0.000239238
74,1643.73,0.63484,0.34343,0.88699,0.99159,0.99285,0.99251,0.77201,0.7959,0.34433,0.93729,0.000230991,0.000230991,0.000230991
75,1665.82,0.66034,0.34892,0.89534,0.99286,0.99285,0.99255,0.75381,0.83466,0.36097,0.94842,0.000222744,0.000222744,0.000222744
